32,-32
-28.0972,-29.5114
-21.3555,19.3555
8.87891,10.2931
0,0
5.02596,6.44018
7.74145,-5.74145
-3.36805,-4.78226
0,0
-2.44178,-3.856
-4.99222,2.99222
1.84805,3.26226
0,0
1.43334,2.84755
3.79481,-1.79481
-1.126,-2.54021
0,0
-0.888101,-2.30231
-3.11432,1.11432
0.697673,2.11189
0,0
0.541111,1.95532
2.6684,-0.668399
-0.409537,-1.82375
0,0
-0.296908,-1.71112
-2.34834,0.348344
0.198967,1.61318
0,0
0.112626,1.52684
2.10333,-0.10333
-0.0355905,-1.4498
0,0
0.0338849,-1.38033
-1.90635,-0.0936528
-0.0971523,1.31706
0,0
-0.155275,1.25894
1.74165,0.258349
0.209106,-1.20511
0,0
0.259336,-1.15488
-1.59938,-0.400623
-0.306536,1.10768
0,0
-0.351179,1.06303
1.47296,0.527035
0.393668,-1.02055
0,0
0.434346,-0.979868
-1.35781,-0.642194
-0.47351,0.940703
0,0
-0.511424,0.90279
1.25049,0.749513
0.548321,-0.865893
0,0
0.584412,-0.829801
-1.14834,-0.851664
-0.619894,0.79432
0,0
-0.654947,0.759266
1.04913,0.950873
0.689748,-0.724465
0,0
0.724465,-0.689748
-0.950873,-1.04913
-0.759266,0.654947
0,0
-0.79432,0.619894
0.851664,1.14834
0.829801,-0.584412
0,0
0.865893,-0.548321
-0.749513,-1.25049
-0.90279,0.511424
0,0
-0.940703,0.47351
0.642194,1.35781
0.979868,-0.434346
0,0
1.02055,-0.393668
-0.527035,-1.47296
-1.06303,0.351179
0,0
-1.10768,0.306536
0.400623,1.59938
1.15488,-0.259336
0,0
1.20511,-0.209106
-0.258349,-1.74165
-1.25894,0.155275
0,0
-1.31706,0.0971523
0.0936528,1.90635
1.38033,-0.0338849
0,0
1.4498,0.0355905
0.10333,-2.10333
-1.52684,-0.112626
0,0
-1.61318,-0.198967
-0.348344,2.34834
1.71112,0.296908
0,0
1.82375,0.409537
0.668399,-2.6684
-1.95532,-0.541111
0,0
-2.11189,-0.697673
-1.11432,3.11432
2.30231,0.888101
0,0
2.54021,1.126
1.79481,-3.79481
-2.84755,-1.43334
0,0
-3.26226,-1.84805
-2.99222,4.99222
3.856,2.44178
0,0
4.78226,3.36805
5.74145,-7.74145
-6.44018,-5.02596
0,0
-10.2931,-8.87891
-19.3555,21.3555
29.5114,28.0972
